group,metric,n,median_before,median_after,median_change,wilcoxon_statistic,effect_size_r,p_value,p_value_corrected
physical,commits,58,97.0,94.5,-9.5,680.0,-0.17841682694952615,0.1742092013768638,0.2956237623143734
physical,pull_requests,7,1.0,5.0,4.0,1.0,-0.8305395344999218,0.125,0.2956237623143734
visual,commits,20,207.5,96.5,-116.0,44.0,-0.509218161389106,0.021484375,0.1206305751224239
visual,pull_requests,3,3.0,1.0,-2.0,0.0,-0.9258200997725515,0.5,0.5966188789958917
non_physical,commits,166,77.0,57.0,-10.0,5461.5,-0.18383956184994363,0.02412611502448478,0.1206305751224239
non_physical,pull_requests,15,1.0,3.0,0.0,27.0,-0.48393547957046584,0.9593007893622097,0.9593007893622097
disabled,commits,45,138.0,131.0,-8.0,398.0,-0.2010765385240601,0.177374257388624,0.2956237623143734
disabled,pull_requests,3,1.0,10.0,6.0,0.0,-0.9258200997725515,0.5,0.5966188789958917
non_disabled,commits,71,71.0,57.0,-3.0,1137.0,-0.09588090350918695,0.5369569910963026,0.5966188789958917
non_disabled,pull_requests,7,2.0,22.0,5.0,4.0,-0.6388765649999398,0.09375,0.2956237623143734
