keyword,users,percentage
deaf,13,6.532663316582915
hard of hearing,0,0.0
slight hearing loss,0,0.0
minimal hearing loss,0,0.0
mild hearing loss,0,0.0
moderate hearing loss,0,0.0
severe hearing loss,0,0.0
profound hearing loss,0,0.0
dyscalculia,1,0.5025125628140703
dyslexia,1,0.5025125628140703
attention deficit disorder,0,0.0
adhd,61,30.65326633165829
add,0,0.0
tourette's syndrome,0,0.0
dyspraxia,0,0.0
developmental coordination disorder,0,0.0
autism,22,11.055276381909549
asd,21,10.552763819095476
audhd,15,7.537688442211055
disabled,45,22.613065326633166
visually impaired,5,2.512562814070352
blind,14,7.035175879396985
low vision,0,0.0
partially blind,0,0.0
partially sighted,0,0.0
legally blind,1,0.5025125628140703
sight loss,0,0.0
blv,0,0.0
bvi,0,0.0
