variable,group1,group2,p_value,effect_size,p_value_corrected
delta_commits,physical,visual,0.15095685006500253,0.21724137931034482,0.5660881877437595
delta_commits,physical,non-physical,0.8552608914579729,-0.01620274200249273,0.9163509551335424
delta_commits,physical,disabled,0.8418742025762563,0.023371647509578545,0.9163509551335424
delta_commits,physical,non-disabled,0.47027222035542837,-0.07430791646430306,0.7054083305331426
delta_commits,visual,non-physical,0.0452168251277648,-0.2746987951807229,0.27130095076658883
delta_commits,visual,disabled,0.24094438769469184,-0.18444444444444444,0.6571210573491596
delta_commits,visual,non-disabled,0.0240002839770543,-0.3323943661971831,0.22115251401409144
delta_commits,non-physical,disabled,0.7463485801078776,0.03159303882195449,0.8956182961294531
delta_commits,non-physical,non-disabled,0.4016224962402316,-0.06889529950789072,0.7054083305331426
delta_commits,disabled,non-disabled,0.4194359950015156,-0.08951486697965572,0.7054083305331426
delta_lines,physical,visual,0.21864255554581613,0.18620689655172415,0.6559276666374484
delta_lines,physical,non-physical,0.5866571496435076,0.04808890735355214,0.8259305668046185
delta_lines,physical,disabled,0.6607444534436948,-0.050957854406130265,0.8259305668046185
delta_lines,physical,non-disabled,0.027529884367550748,0.2263234579893152,0.22115251401409144
delta_lines,visual,non-physical,0.3616313695400466,-0.12530120481927712,0.7054083305331426
delta_lines,visual,disabled,0.149116785171334,-0.22666666666666666,0.5660881877437595
delta_lines,visual,non-disabled,0.8894735492824736,0.02112676056338028,0.9201450509818692
delta_lines,non-physical,disabled,0.309739197111495,-0.09892904953145917,0.7054083305331426
delta_lines,non-physical,non-disabled,0.029487001868545526,0.17868657729509588,0.22115251401409144
delta_lines,disabled,non-disabled,0.014607350972975736,0.2701095461658842,0.22115251401409144
delta_acceptance_rate,physical,visual,0.19043026382552397,-0.5833333333333334,0.6347675460850799
delta_acceptance_rate,physical,non-physical,0.7875790156826178,0.08333333333333333,0.9087450180953281
delta_acceptance_rate,physical,disabled,0.6373518882339371,-0.16666666666666666,0.8259305668046185
delta_acceptance_rate,physical,non-disabled,0.6373518882339371,-0.16666666666666666,0.8259305668046185
delta_acceptance_rate,visual,non-physical,0.1482638443551742,0.625,0.5660881877437595
delta_acceptance_rate,visual,disabled,0.4142161782425251,0.5,0.7054083305331426
delta_acceptance_rate,visual,non-disabled,0.4142161782425251,0.5,0.7054083305331426
delta_acceptance_rate,non-physical,disabled,0.44910223297552876,-0.25,0.7054083305331426
delta_acceptance_rate,non-physical,non-disabled,0.44910223297552876,-0.25,0.7054083305331426
delta_acceptance_rate,disabled,non-disabled,1.0,0.0,1.0
