category,keyword,variable,p_value,effect_size,median_change,wilcoxon,p_value_corrected
physical,deaf,commits,0.83935546875,-0.06783977720678437,-22.0,42.0,0.94427490234375
physical,deaf,net_lines,0.946044921875,-0.02907419023147902,-1220.0,44.0,1.0
physical,disabled,commits,0.177374257388624,-0.2010765385240601,-8.0,398.0,0.354748514777248
physical,disabled,net_lines,0.012862368501203036,-0.3676587754603107,3097.0,299.0,0.07717421100721822
visual,blind,commits,0.267578125,-0.31038783031491474,-54.0,34.0,0.481640625
visual,blind,net_lines,0.6697998046875,-0.1258329041817222,5438.5,45.0,0.8145263671874999
non-physical,adhd,commits,0.04988283594779825,-0.2510672307749632,-21.0,672.5,0.1968532701479967
non-physical,adhd,net_lines,0.054681463929999084,-0.24600909975202434,3412.0,678.0,0.1968532701479967
non-physical,asd,commits,0.1003690937068536,-0.41336838699290696,-10.0,61.0,0.3011072811205608
non-physical,asd,net_lines,1.0,-0.003792370522870706,463.0,115.0,1.0
non-physical,audhd,commits,0.67877197265625,-0.11731769201708263,20.0,52.0,0.8145263671874999
non-physical,audhd,net_lines,0.42120361328125,-0.2199706725320299,-356.0,45.0,0.6892422762784091
non-physical,autism,commits,0.5265450611862204,-0.13497314780658345,-8.0,107.0,0.7290623924116897
non-physical,autism,net_lines,0.46277761459350586,-0.16265994735665185,2019.0,103.0,0.6941664218902588
non-physical,disabled,commits,0.177374257388624,-0.2010765385240601,-8.0,398.0,0.354748514777248
non-physical,disabled,net_lines,0.012862368501203036,-0.3676587754603107,3097.0,299.0,0.07717421100721822
disabled,disabled,commits,0.177374257388624,-0.2010765385240601,-8.0,398.0,0.354748514777248
disabled,disabled,net_lines,0.012862368501203036,-0.3676587754603107,3097.0,299.0,0.07717421100721822
